UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP 
100654,"R",1088,"R",1300,"R",84,"R",69,"R",85
100663,"R",1533,"R",2562,"R",60,"R",77,"R",43
100690,"R",4,"R",4,"R",100,"R",53,"A",
100706,"R",628,"R",1850,"R",34,"R",75,"R",41
100724,"R",1198,"R",1497,"R",80,"R",68,"R",42
100751,"R",3706,"R",5240,"R",71,"R",86,"R",64
100760,"R",473,"R",718,"R",66,"R",35,"R",29
100830,"R",520,"R",1201,"R",43,"R",57,"R",45
100858,"R",4154,"R",5303,"R",78,"R",85,"Z",0
100937,"R",316,"R",316,"R",100,"R",83,"A",
101028,"R",270,"R",829,"R",33,"R",48,"R",36
101073,"R",233,"R",295,"R",79,"R",36,"R",5
101116,"R",47,"R",66,"R",71,"R",50,"R",17
101143,"R",338,"R",822,"R",41,"R",54,"R",32
101161,"R",758,"R",1382,"R",55,"R",56,"R",36
101189,"R",188,"R",1280,"R",15,"R",60,"R",41
101231,"R",71,"A",,"A",,"A",,"A",
101240,"R",1088,"R",1601,"R",68,"R",60,"R",36
101286,"R",690,"R",1194,"R",58,"R",56,"R",37
101295,"R",782,"R",1785,"R",44,"R",58,"R",52
101301,"R",382,"R",825,"R",46,"R",59,"R",35
101365,"R",45,"R",111,"R",41,"R",63,"R",32
101435,"R",184,"R",246,"R",75,"R",70,"Z",0
101453,"R",4,"R",28,"R",14,"R",66,"R",50
101462,"R",134,"R",188,"R",71,"R",52,"R",30
101471,"R",197,"R",216,"R",91,"R",18,"R",22
101480,"R",1120,"R",1877,"R",60,"R",69,"R",31
101499,"R",283,"R",522,"R",54,"R",38,"R",28
101505,"R",889,"R",2797,"R",32,"R",57,"R",42
101514,"R",935,"R",2622,"R",36,"R",67,"R",57
101541,"R",79,"R",87,"R",91,"R",64,"A",
101569,"R",642,"R",864,"R",74,"R",59,"R",46
101587,"R",359,"R",563,"R",64,"R",25,"R",66
101602,"R",303,"R",542,"R",56,"R",55,"R",40
101648,"R",116,"R",116,"R",100,"R",61,"A",
101675,"R",389,"R",560,"R",69,"R",58,"R",33
101693,"R",271,"R",507,"R",53,"R",76,"R",13
101709,"R",487,"R",775,"R",63,"R",73,"R",50
101736,"R",615,"R",1306,"R",47,"R",47,"R",21
101879,"R",966,"R",1543,"R",63,"R",70,"R",44
101897,"R",320,"R",644,"R",50,"R",56,"R",8
101912,"R",406,"R",517,"R",79,"R",75,"R",25
101949,"R",243,"R",544,"R",45,"R",28,"R",14
101958,"R",5,"R",8,"R",63,"R",100,"A",
101994,"R",99,"R",277,"R",36,"R",58,"R",51
102030,"R",559,"R",1997,"R",28,"R",47,"R",34
102049,"R",700,"R",835,"R",84,"R",85,"R",0
102067,"R",1257,"R",1741,"R",72,"R",58,"R",34
102076,"R",397,"R",860,"R",46,"R",63,"R",36
102094,"R",1198,"R",2659,"R",45,"R",70,"R",40
102216,"R",20,"R",27,"R",74,"R",36,"R",70
102234,"R",274,"R",479,"R",57,"R",82,"A",
102261,"R",34,"R",60,"R",57,"R",67,"R",61
102270,"R",266,"R",275,"R",97,"R",53,"R",76
102298,"R",168,"R",182,"R",92,"R",52,"R",5
102313,"R",275,"R",606,"R",45,"R",36,"R",40
102368,"R",1434,"R",5756,"R",25,"R",68,"R",52
102377,"R",730,"R",818,"R",89,"R",70,"R",36
102429,"R",707,"R",1403,"R",50,"R",58,"R",44
102553,"R",1191,"R",5114,"R",23,"R",67,"R",50
102614,"R",806,"R",2616,"R",31,"R",68,"R",45
102632,"R",158,"R",1176,"R",13,"R",63,"R",63
102669,"R",39,"R",218,"R",18,"R",53,"R",0
102711,"R",242,"A",,"A",,"R",81,"R",75
102845,"R",27,"R",97,"R",28,"R",88,"R",83
103361,"R",22,"R",270,"R",8,"R",21,"R",40
103440,"R",28,"R",51,"R",55,"R",44,"A",
103501,"R",125,"A",,"A",,"R",92,"A",
103644,"R",168,"R",382,"R",44,"R",61,"R",42
103723,"R",242,"R",373,"R",65,"R",69,"A",
103732,"R",25,"A",,"A",,"R",73,"A",
103741,"R",81,"A",,"A",,"R",81,"A",
103787,"R",8,"R",60,"R",13,"R",78,"A",
103811,"R",254,"A",,"A",,"A",,"A",
103893,"R",2350,"A",,"A",,"R",77,"A",
103945,"R",140,"A",,"A",,"R",93,"A",
103954,"R",21,"A",,"A",,"R",70,"R",0
103963,"R",304,"R",403,"R",75,"R",66,"R",0
104090,"R",329,"R",329,"R",100,"R",82,"A",
104151,"R",7376,"R",11941,"R",62,"R",79,"Z",0
104160,"R",523,"R",1471,"R",36,"R",54,"R",42
104179,"R",5764,"R",7999,"R",72,"R",79,"R",51
104188,"R",56,"R",68,"R",82,"R",77,"R",77
104294,"R",47,"A",,"A",,"R",56,"A",
104346,"R",597,"R",2248,"R",27,"R",54,"R",26
104364,"R",123,"R",379,"R",32,"R",42,"A",
104391,"R",48,"A",,"A",,"R",79,"A",
104425,"R",424,"R",1467,"R",29,"R",53,"R",30
104434,"R",15,"A",,"A",,"R",95,"A",
104443,"R",54,"A",,"A",,"R",87,"A",
104504,"R",32,"A",,"A",,"R",85,"R",86
104522,"R",30,"A",,"A",,"R",74,"R",74
104531,"R",184,"R",447,"R",41,"R",49,"R",33
104568,"R",56,"A",,"A",,"R",88,"R",94
104577,"R",614,"R",2534,"R",24,"R",44,"R",47
104586,"R",358,"R",480,"R",75,"R",78,"R",100
104708,"R",457,"R",6794,"R",7,"R",62,"R",35
104717,"R",175,"R",796,"R",22,"R",56,"R",17
104805,"R",956,"A",,"A",,"R",91,"A",
104911,"R",78,"A",,"A",,"R",86,"R",86
104984,"R",185,"R",185,"R",100,"R",64,"A",
105118,"R",96,"A",,"A",,"R",90,"A",
105127,"R",47,"A",,"A",,"R",73,"R",84
105145,"R",174,"R",2601,"R",7,"R",55,"R",28
105154,"R",767,"R",9126,"R",8,"R",55,"R",32
105163,"R",66,"R",76,"R",87,"R",61,"R",40
105172,"R",138,"R",143,"R",97,"R",66,"R",63
105206,"R",166,"R",2797,"R",6,"R",58,"R",29
105215,"R",553,"A",,"A",,"R",79,"A",
105242,"R",140,"A",,"A",,"R",83,"A",
105297,"R",236,"R",416,"R",57,"R",53,"R",30
105330,"R",2105,"R",3303,"R",64,"R",69,"R",60
105349,"R",107,"R",1301,"R",8,"R",37,"R",24
105419,"R",61,"A",,"A",,"R",72,"A",
105428,"R",358,"R",4588,"R",8,"R",59,"R",40
105482,"R",91,"A",,"A",,"R",89,"A",
105516,"R",258,"R",918,"R",28,"R",53,"A",
105525,"R",2318,"R",10628,"R",22,"R",65,"R",37
105534,"R",637,"A",,"A",,"R",83,"A",
105543,"R",364,"A",,"A",,"R",84,"A",
105589,"R",53,"R",273,"R",19,"R",71,"A",
105659,"R",138,"A",,"A",,"R",77,"R",65
105668,"R",33,"R",6099,"R",1,"R",66,"R",31
105677,"R",10,"A",,"A",,"A",,"A",
105701,"R",4,"A",,"A",,"R",72,"A",
105747,"R",318,"R",4577,"R",7,"R",61,"R",30
105792,"R",208,"R",2026,"R",10,"R",62,"R",34
105880,"R",15,"A",,"A",,"R",60,"A",
105899,"R",49,"R",107,"R",46,"R",58,"R",0
105987,"R",200,"A",,"A",,"A",,"A",
106041,"R",1097,"A",,"A",,"R",77,"A",
106050,"R",30,"R",45,"R",67,"R",75,"A",
106102,"R",30665,"R",30682,"R",100,"R",24,"A",
106111,"R",48,"A",,"A",,"R",76,"A",
106148,"R",295,"R",2231,"R",13,"R",51,"R",31
106245,"R",762,"R",2942,"R",26,"R",61,"R",47
106281,"R",14,"A",,"A",,"R",67,"A",
106306,"R",97,"R",99,"R",98,"R",62,"R",38
106315,"R",14,"A",,"A",,"R",62,"Z",0
106342,"R",111,"R",171,"R",65,"R",75,"R",100
106351,"R",8,"A",,"A",,"R",86,"R",14
106360,"R",41,"A",,"A",,"R",74,"A",
106397,"R",2693,"R",4267,"R",63,"R",81,"Z",0
106412,"R",714,"R",884,"R",81,"R",56,"R",20
106449,"R",755,"R",1371,"R",55,"R",55,"R",29
106458,"R",1491,"R",2418,"R",62,"R",65,"R",37
106467,"R",1460,"R",1883,"R",78,"R",66,"R",50
106485,"R",627,"R",899,"R",70,"R",49,"R",33
106494,"R",84,"A",,"A",,"R",84,"A",
106546,"R",207,"A",,"A",,"R",90,"A",
106607,"R",12,"A",,"A",,"R",64,"A",
106625,"R",311,"R",608,"R",51,"R",53,"R",26
106704,"R",2429,"R",3223,"R",75,"R",72,"R",32
106713,"R",104,"R",169,"R",62,"R",70,"A",
106759,"R",4,"A",,"A",,"R",93,"A",
106795,"R",100,"R",503,"R",20,"R",58,"R",30
106810,"R",53,"R",59,"R",90,"R",42,"R",50
106829,"R",91,"R",124,"R",73,"R",72,"R",27
106838,"R",2,"A",,"A",,"R",56,"A",
106883,"R",232,"R",366,"R",63,"R",47,"R",28
106892,"R",220,"A",,"A",,"A",,"A",
106908,"R",4,"A",,"A",,"R",50,"A",
106980,"R",361,"R",1049,"R",34,"R",57,"R",37
106999,"R",142,"R",338,"R",42,"R",59,"R",39
107044,"R",956,"R",1145,"R",83,"R",83,"R",25
107071,"R",415,"R",920,"R",45,"R",64,"R",0
107080,"R",280,"R",305,"R",92,"R",81,"A",
107099,"R",4,"A",,"A",,"R",83,"A",
107123,"R",48,"A",,"A",,"R",60,"A",
107141,"R",262,"R",574,"R",46,"R",75,"A",
107211,"R",25,"A",,"A",,"R",82,"A",
107220,"R",63,"A",,"A",,"R",76,"A",
107275,"R",6,"A",,"A",,"R",87,"A",
107293,"R",13,"A",,"A",,"R",90,"A",
107318,"R",128,"R",582,"R",22,"R",51,"R",24
107327,"R",334,"R",473,"R",71,"R",52,"R",33
107363,"R",10,"A",,"A",,"R",100,"A",
107442,"R",13,"A",,"A",,"R",74,"A",
107460,"R",382,"R",569,"R",67,"R",56,"R",48
107488,"R",129,"R",257,"R",50,"R",46,"R",34
107512,"R",367,"R",451,"R",81,"R",75,"A",
107521,"R",176,"R",314,"R",56,"R",49,"R",32
107549,"R",183,"R",781,"R",23,"R",53,"R",38
107558,"R",170,"R",240,"R",71,"R",64,"A",
107585,"R",424,"R",1241,"R",34,"R",49,"R",31
107600,"R",122,"R",165,"R",74,"R",51,"R",48
107619,"R",199,"R",407,"R",49,"R",65,"R",46
107637,"R",165,"R",536,"R",31,"R",48,"R",42
107655,"R",10,"A",,"A",,"R",83,"R",78
107664,"R",994,"R",2408,"R",41,"R",48,"R",48
107725,"R",187,"R",361,"R",52,"R",49,"R",45
107743,"R",132,"R",236,"R",56,"R",42,"R",48
107789,"R",12,"A",,"A",,"R",67,"R",92
107831,"R",58,"A",,"A",,"R",68,"A",
107877,"R",130,"R",186,"R",70,"R",57,"A",
107974,"R",111,"R",330,"R",34,"R",46,"R",34
107983,"R",567,"R",744,"R",76,"R",64,"R",0
107992,"R",144,"R",368,"R",39,"R",35,"R",37
108065,"R",1,"A",,"A",,"R",80,"R",100
108092,"R",1107,"R",1617,"R",68,"R",65,"R",29
108232,"R",762,"R",1705,"R",45,"R",58,"R",31
108250,"R",119,"R",130,"R",92,"R",70,"R",42
108287,"R",37,"A",,"A",,"R",75,"A",
108348,"R",51,"A",,"A",,"R",12,"R",0
108393,"R",113,"A",,"A",,"A",,"A",
108649,"R",21,"A",,"A",,"R",93,"A",
108667,"R",89,"R",1880,"R",5,"R",57,"R",35
108807,"R",477,"R",2974,"R",16,"R",73,"R",43
108852,"R",135,"R",267,"R",51,"R",85,"A",
108977,"R",24,"A",,"A",,"R",64,"A",
109013,"R",307,"R",457,"R",67,"R",51,"R",42
109040,"R",1193,"A",,"A",,"R",64,"A",
109086,"R",0,"R",1,"R",0,"A",,"A",
109208,"R",1612,"R",9043,"R",18,"R",63,"R",40
109332,"R",225,"A",,"A",,"A",,"A",
109350,"R",644,"R",3031,"R",21,"R",66,"R",42
109651,"R",78,"R",302,"R",26,"R",87,"A",
109721,"R",278,"A",,"A",,"A",,"A",
109730,"R",22,"A",,"A",,"A",,"A",
109785,"R",855,"R",1238,"R",69,"R",83,"R",17
109819,"R",1092,"R",3765,"R",29,"R",70,"R",49
109907,"R",188,"R",1158,"R",16,"R",57,"R",31
109934,"R",170,"A",,"A",,"R",91,"A",
110051,"R",82,"R",156,"R",53,"R",65,"R",60
110060,"R",34,"R",47,"R",72,"R",75,"R",100
110097,"R",670,"R",1113,"R",60,"R",83,"Z",0
110176,"R",304,"R",339,"R",90,"R",53,"R",38
110185,"R",347,"R",666,"R",52,"R",57,"R",0
110194,"R",32,"A",,"A",,"R",89,"A",
110219,"R",4,"R",40,"R",10,"R",18,"R",29
110246,"R",675,"R",3496,"R",19,"R",64,"R",40
110334,"R",560,"R",3402,"R",16,"R",69,"R",42
110361,"R",317,"R",770,"R",41,"R",79,"R",0
110370,"R",181,"R",386,"R",47,"R",79,"R",0
