"ID","2004_FT","2004_PT","2005_FT","2005_PT","2006_FT","2006_PT","2007_FT","2007_PT","2008_FT","2008_PT","2009_FT","2009_PT","2010_FT","2010_PT","2011_FT","2011_PT","2012_FT","2012_PT","2013_FT","2013_PT","2014_FT","2014_PT","2015_FT","2015_PT","2016_FT","2016_PT","2017_FT","2017_PT","2018_FT","2018_PT","2019_FT","2019_PT","2020_FT","2020_PT","2021_FT","2021_PT","2022_FT","2022_PT","2023_FT","2023_PT","2024_FT","2024_PT"
102368,72,54,68,52,69,39,68,41,75,31,72,75,73,34,74,37,72,42,74,42,75,38,79,37,74,40,70,37,73,33,75,40,77,38,74,29,75,29,73,39,71,29
102429,65,43,58,44,61,47,60,42,61,37,60,47,62,46,57,48,53,46,58,36,61,44,56,49,60,52,54,48,61,45,63,53,59,51,67,58,66,65,67,54,66,57
102553,70,53,67,50,69,54,70,45,70,50,73,53,71,51,70,52,71,53,71,54,72,45,71,46,70,48,69,51,67,47,66,42,68,37,69,51,66,47,72,43,71,49
102614,70,38,68,45,74,38,72,49,73,55,80,53,76,57,76,56,74,68,77,41,78,49,75,46,75,50,77,64,73,61,73,38,78,39,68,54,70,43,72,43,74,42
102632,60,42,63,63,55,40,44,36,55,25,61,43,63,54,57,48,56,26,72,57,72,64,64,28,56,62,70,17,74,50,59,45,63,32,65,35,65,25,71,50,76,29
102669,62,0,53,0,69,25,77,100,79,33,74,0,67,0,76,50,65,20,67,100,77,100,56,0,51,0,78,100,81,67,72,20,56,75,68,50,82,50,68,50,68,40
102711,93,100,81,75,86,96,85,100,90,100,87,92,88,100,90,100,85,100,100,100,100,100,100,100,94,100,83,100,94,97,96,98,81,100,94,100,85,78,90,93,92,99
104160,64,43,54,42,56,37,55,37,55,43,61,39,63,40,63,41,64,40,62,41,60,41,70,41,68,45,64,40,66,43,64,49,61,41,66,51,63,42,68,42,67,50
104179,79,48,79,51,79,45,80,51,79,52,78,58,77,36,77,48,80,54,81,59,82,63,80,63,80,64,83,62,81,64,83,67,85,67,84,63,86,67,88,68,83,52
104346,57,30,54,26,48,29,49,31,56,33,55,33,59,31,62,35,57,33,49,26,48,33,53,31,49,32,54,33,54,29,55,35,51,32,59,40,57,35,58,35,61,36
104568,81,95,88,94,64,59,56,73,85,71,42,36,55,55,77,50,81,63,85,67,70,82,91,90,95,81,87,87,89,92,95,88,95,86,90,89,97,88,89,74,86,75
105206,67,18,58,29,52,32,45,32,52,33,45,36,39,42,47,44,41,35,53,44,50,36,49,44,47,39,48,41,52,39,50,40,54,35,62,47,50,35,40,33,49,38
105330,70,54,69,60,72,53,71,54,69,54,72,62,71,53,73,52,76,60,72,44,74,62,74,56,76,55,76,50,73,49,78,50,76,55,74,45,76,42,73,19,75,26
105525,65,35,65,37,66,36,63,38,64,36,65,35,66,39,60,40,55,35,61,37,58,37,63,41,64,40,64,42,59,40,65,46,59,40,65,47,68,52,67,52,68,51
106245,64,50,61,47,60,41,59,36,62,27,65,29,64,38,62,41,67,46,70,47,71,56,72,29,68,35,69,43,68,40,66,39,73,76,65,47,75,45,71,41,76,50
106412,62,31,56,20,54,20,57,22,60,13,64,19,57,35,56,14,55,7,56,9,62,18,70,8,70,15,71,22,70,14,72,40,74,29,63,31,59,21,65,27,64,27
106449,54,32,55,29,39,60,61,33,61,43,64,49,62,41,59,50,56,40,55,44,56,32,59,35,57,31,56,49,66,34,58,33,63,37,57,27,62,40,63,38,62,52
