UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP 
102553,"R",1339,"R",2448,"R",55,"R",966,"R",0,"R",966,"R",680,"R",70,"R",182,"R",0,"R",182,"R",82,"R",45
102614,"R",793,"R",1169,"R",68,"R",488,"R",0,"R",488,"R",349,"R",72,"R",35,"R",0,"R",35,"R",17,"R",49
102632,"R",108,"R",713,"R",15,"R",79,"R",0,"R",79,"R",35,"R",44,"R",11,"R",0,"R",11,"R",4,"R",36
102669,"R",42,"R",193,"R",22,"R",57,"R",0,"R",57,"R",44,"R",77,"R",3,"R",0,"R",3,"R",3,"R",100
102711,"A",,"A",,"A",,"R",135,"R",0,"R",135,"R",115,"R",85,"R",531,"R",0,"R",531,"R",531,"R",100
102845,"R",39,"R",168,"R",23,"R",2,"R",0,"R",2,"R",1,"R",50,"R",9,"R",0,"R",9,"R",6,"R",67
103361,"R",17,"R",136,"R",13,"R",19,"R",0,"R",19,"R",4,"R",21,"R",5,"R",0,"R",5,"R",1,"R",20
103501,"A",,"A",,"A",,"R",265,"R",0,"R",265,"R",235,"R",89,"R",0,"R",0,"R",0,"R",0,"A",
103644,"R",307,"R",492,"R",62,"R",312,"Z",0,"R",312,"R",266,"R",85,"R",215,"Z",0,"R",215,"R",110,"R",51
103723,"R",44,"R",257,"R",17,"R",258,"R",44,"R",214,"R",122,"R",57,"Z",0,"Z",0,"R",0,"Z",0,"A",
103732,"A",,"A",,"A",,"R",66,"Z",0,"R",66,"R",37,"R",56,"Z",0,"Z",0,"R",0,"Z",0,"A",
103741,"A",,"A",,"A",,"R",154,"Z",0,"R",154,"R",108,"R",70,"R",171,"Z",0,"R",171,"R",134,"R",78
103787,"R",10,"R",17,"R",59,"R",9,"R",0,"R",9,"R",6,"R",67,"R",1,"R",0,"R",1,"R",0,"R",0
103893,"A",,"A",,"A",,"R",3027,"R",0,"R",3027,"R",2355,"R",78,"R",0,"R",0,"R",0,"R",0,"A",
103945,"A",,"A",,"A",,"R",123,"R",0,"R",123,"R",76,"R",62,"Z",0,"Z",0,"R",0,"Z",0,"A",
103954,"A",,"A",,"A",,"R",13,"R",0,"R",13,"R",11,"R",85,"R",0,"R",0,"R",0,"R",0,"A",
103963,"R",122,"R",122,"R",100,"R",323,"R",3,"R",320,"R",252,"R",79,"Z",0,"Z",0,"R",0,"Z",0,"A",
104090,"A",,"A",,"A",,"R",315,"R",0,"R",315,"R",265,"R",84,"Z",0,"Z",0,"R",0,"Z",0,"A",
104151,"R",6977,"R",11743,"R",59,"R",7076,"R",102,"R",6974,"R",5436,"R",78,"R",818,"R",0,"R",818,"R",537,"R",66
104160,"R",551,"R",1502,"R",37,"R",586,"R",0,"R",586,"R",323,"R",55,"R",546,"R",0,"R",546,"R",200,"R",37
104179,"R",6231,"R",8482,"R",73,"R",5788,"R",0,"R",5788,"R",4625,"R",80,"R",221,"R",0,"R",221,"R",112,"R",51
104188,"R",36,"R",77,"R",47,"R",36,"R",9,"R",27,"R",15,"R",56,"R",10,"Z",0,"R",10,"R",5,"R",50
104294,"A",,"A",,"A",,"R",64,"R",0,"R",64,"R",43,"R",67,"R",0,"R",0,"R",0,"R",0,"A",
104346,"R",395,"R",1664,"R",24,"R",578,"R",0,"R",578,"R",283,"R",49,"R",753,"R",0,"R",753,"R",235,"R",31
104364,"R",122,"R",176,"R",69,"R",115,"R",0,"R",115,"R",33,"R",29,"R",0,"R",0,"R",0,"R",0,"A",
104391,"A",,"A",,"A",,"R",25,"R",0,"R",25,"R",4,"R",16,"R",0,"R",0,"R",0,"R",0,"A",
104425,"R",255,"R",1060,"R",24,"R",268,"R",1,"R",267,"R",150,"R",56,"R",313,"R",0,"R",313,"R",104,"R",33
104434,"A",,"A",,"A",,"R",66,"Z",0,"R",66,"R",41,"R",62,"Z",0,"Z",0,"R",0,"Z",0,"A",
104443,"A",,"A",,"A",,"R",127,"Z",0,"R",127,"R",86,"R",68,"R",154,"Z",0,"R",154,"R",129,"R",84
104504,"A",,"A",,"A",,"R",14,"R",0,"R",14,"R",10,"R",71,"R",7,"R",0,"R",7,"R",4,"R",57
104522,"A",,"A",,"A",,"R",20,"R",0,"R",20,"R",2,"R",10,"R",0,"R",0,"R",0,"Z",0,"A",
104531,"R",189,"R",469,"R",40,"R",200,"R",0,"R",200,"R",103,"R",52,"R",55,"R",0,"R",55,"R",13,"R",24
104568,"A",,"A",,"A",,"R",322,"R",3,"R",319,"R",180,"R",56,"R",49,"R",0,"R",49,"R",36,"R",73
104577,"R",524,"R",714,"R",73,"R",584,"R",0,"R",584,"R",289,"R",49,"R",39,"R",0,"R",39,"R",18,"R",46
104586,"R",399,"R",512,"R",78,"R",403,"R",0,"R",403,"R",306,"R",76,"R",0,"R",0,"R",0,"Z",0,"A",
104708,"R",551,"R",6131,"R",9,"R",491,"Z",0,"R",491,"R",290,"R",59,"R",418,"Z",0,"R",418,"R",180,"R",43
104717,"R",101,"R",1129,"R",9,"R",117,"Z",0,"R",117,"R",81,"R",69,"R",214,"Z",0,"R",214,"R",95,"R",44
104805,"A",,"A",,"A",,"R",1341,"Z",0,"R",1341,"R",568,"R",42,"Z",0,"Z",0,"R",0,"Z",0,"A",
104911,"A",,"A",,"A",,"R",210,"R",9,"R",201,"R",139,"R",69,"R",43,"R",0,"R",43,"R",19,"R",44
104984,"A",,"A",,"A",,"R",316,"R",1,"R",315,"R",226,"R",72,"R",0,"R",0,"R",0,"R",0,"A",
105118,"A",,"A",,"A",,"R",65,"R",0,"R",65,"R",34,"R",52,"Z",0,"Z",0,"R",0,"Z",0,"A",
105127,"A",,"A",,"A",,"R",45,"R",0,"R",45,"R",7,"R",16,"R",48,"R",0,"R",48,"R",14,"R",29
105145,"R",143,"R",2282,"R",6,"R",161,"Z",0,"R",161,"R",83,"R",52,"R",497,"Z",0,"R",497,"R",146,"R",29
