"ID","Year","Retention","Type"
134291,2004,69,"FT"
134307,2004,33,"FT"
134714,2004,87,"FT"
134945,2004,66,"FT"
135081,2004,62,"FT"
135142,2004,84,"FT"
135179,2004,81,"FT"
135276,2004,54,"FT"
135407,2004,78,"FT"
135647,2004,34,"FT"
135735,2004,2,"FT"
136172,2004,78,"FT"
136215,2004,67,"FT"
136659,2004,56,"FT"
136765,2004,73,"FT"
136826,2004,42,"FT"
137120,2004,100,"FT"
137351,2004,81,"FT"
137564,2004,71,"FT"
137713,2004,47,"FT"
137856,2004,86,"FT"
138284,2004,80,"FT"
138354,2004,72,"FT"
138372,2004,2,"FT"
138488,2004,3,"FT"
138655,2004,60,"FT"
138682,2004,59,"FT"
138716,2004,78,"FT"
138840,2004,50,"FT"
138947,2004,68,"FT"
138956,2004,59,"FT"
139153,2004,68,"FT"
139205,2004,52,"FT"
139278,2004,47,"FT"
139311,2004,60,"FT"
139357,2004,54,"FT"
139366,2004,71,"FT"
139384,2004,47,"FT"
139463,2004,64,"FT"
139719,2004,78,"FT"
139764,2004,66,"FT"
139931,2004,79,"FT"
139940,2004,83,"FT"
139959,2004,93,"FT"
139986,2004,52,"FT"
140003,2004,67,"FT"
140012,2004,52,"FT"
140243,2004,56,"FT"
140331,2004,55,"FT"
140447,2004,83,"FT"
140678,2004,61,"FT"
140942,2004,48,"FT"
140951,2004,81,"FT"
140960,2004,71,"FT"
141006,2004,53,"FT"
141185,2004,72,"FT"
141255,2004,56,"FT"
141264,2004,76,"FT"
141334,2004,71,"FT"
141486,2004,65,"FT"
141565,2004,64,"FT"
141574,2004,75,"FT"
141644,2004,67,"FT"
141680,2004,52,"FT"
141796,2004,63,"FT"
141802,2004,52,"FT"
141811,2004,66,"FT"
141990,2004,58,"FT"
142115,2004,63,"FT"
142179,2004,60,"FT"
142276,2004,55,"FT"
142285,2004,80,"FT"
142328,2004,59,"FT"
142443,2004,52,"FT"
142522,2004,80,"FT"
143215,2004,57,"FT"
143279,2004,68,"FT"
143376,2004,56,"FT"
143473,2004,91,"FT"
143613,2004,56,"FT"
144005,2004,57,"FT"
144157,2004,42,"FT"
144166,2004,47,"FT"
144175,2004,43,"FT"
144184,2004,47,"FT"
144193,2004,57,"FT"
144209,2004,44,"FT"
144218,2004,57,"FT"
144281,2004,61,"FT"
144564,2004,56,"FT"
144740,2004,84,"FT"
144865,2004,64,"FT"
144944,2004,71,"FT"
145433,2004,82,"FT"
145521,2004,65,"FT"
145600,2004,77,"FT"
145637,2004,90,"FT"
145682,2004,67,"FT"
145707,2004,55,"FT"
145813,2004,84,"FT"
145831,2004,69,"FT"
146205,2004,68,"FT"
146278,2004,60,"FT"
146296,2004,60,"FT"
146348,2004,65,"FT"
146366,2004,62,"FT"
146418,2004,61,"FT"
146472,2004,66,"FT"
146506,2004,64,"FT"
146603,2004,56,"FT"
146685,2004,57,"FT"
146816,2004,46,"FT"
147004,2004,67,"FT"
147378,2004,65,"FT"
147411,2004,63,"FT"
147536,2004,42,"FT"
147703,2004,78,"FT"
147776,2004,70,"FT"
147800,2004,62,"FT"
147916,2004,67,"FT"
148007,2004,50,"FT"
148256,2004,58,"FT"
148292,2004,56,"FT"
148380,2004,66,"FT"
148672,2004,65,"FT"
148821,2004,56,"FT"
148937,2004,57,"FT"
148991,2004,68,"FT"
149222,2004,69,"FT"
149231,2004,75,"FT"
149365,2004,55,"FT"
149532,2004,61,"FT"
149550,2004,63,"FT"
149727,2004,67,"FT"
149772,2004,77,"FT"
149842,2004,69,"FT"
150136,2004,78,"FT"
150172,2004,58,"FT"
150987,2004,46,"FT"
151102,2004,63,"FT"
151111,2004,66,"FT"
151306,2004,65,"FT"
151324,2004,68,"FT"
151333,2004,57,"FT"
151342,2004,65,"FT"
151351,2004,88,"FT"
151360,2004,61,"FT"
151379,2004,67,"FT"
151388,2004,60,"FT"
151564,2004,69,"FT"
151810,2004,63,"FT"
152044,2004,71,"FT"
152275,2004,71,"FT"
152381,2004,73,"FT"
153214,2004,54,"FT"
153296,2004,65,"FT"
153311,2004,56,"FT"
153445,2004,65,"FT"
153472,2004,62,"FT"
153524,2004,53,"FT"
153533,2004,65,"FT"
153603,2004,85,"FT"
153630,2004,56,"FT"
153658,2004,83,"FT"
153737,2004,62,"FT"
153922,2004,59,"FT"
154059,2004,55,"FT"
154095,2004,81,"FT"
154110,2004,57,"FT"
154129,2004,65,"FT"
154378,2004,55,"FT"
154396,2004,60,"FT"
154572,2004,54,"FT"
154642,2004,54,"FT"
154697,2004,61,"FT"
154800,2004,57,"FT"
154907,2004,60,"FT"
154925,2004,57,"FT"
154934,2004,65,"FT"
154952,2004,60,"FT"
154998,2004,50,"FT"
155007,2004,52,"FT"
155025,2004,67,"FT"
155052,2004,57,"FT"
155061,2004,72,"FT"
155098,2004,54,"FT"
155104,2004,62,"FT"
155186,2004,38,"FT"
155195,2004,59,"FT"
155201,2004,43,"FT"
155210,2004,55,"FT"
155292,2004,51,"FT"
155317,2004,83,"FT"
155423,2004,0,"FT"
155450,2004,45,"FT"
155487,2004,62,"FT"
155566,2004,41,"FT"
155593,2004,84,"FT"
155681,2004,75,"FT"
155715,2004,50,"FT"
155830,2004,74,"FT"
155858,2004,54,"FT"
156082,2004,69,"FT"
156107,2004,47,"FT"
156125,2004,67,"FT"
156231,2004,50,"FT"
156310,2004,71,"FT"
156338,2004,59,"FT"
156365,2004,61,"FT"
156392,2004,54,"FT"
156620,2004,70,"FT"
156648,2004,55,"FT"
156790,2004,54,"FT"
156851,2004,54,"FT"
156860,2004,52,"FT"
156921,2004,51,"FT"
157058,2004,60,"FT"
157085,2004,78,"FT"
157216,2004,47,"FT"
157289,2004,76,"FT"
157304,2004,51,"FT"
157331,2004,45,"FT"
157386,2004,68,"FT"
157438,2004,50,"FT"
157447,2004,64,"FT"
157483,2004,54,"FT"
157553,2004,53,"FT"
157614,2004,55,"FT"
157650,2004,84,"FT"
157711,2004,56,"FT"
157739,2004,50,"FT"
157748,2004,77,"FT"
157951,2004,72,"FT"
158088,2004,100,"FT"
158431,2004,52,"FT"
159009,2004,63,"FT"
159382,2004,50,"FT"
159391,2004,85,"FT"
159407,2004,47,"FT"
159416,2004,56,"FT"
159647,2004,70,"FT"
159717,2004,69,"FT"
159939,2004,67,"FT"
159966,2004,69,"FT"
159993,2004,65,"FT"
160010,2004,39,"FT"
160038,2004,68,"FT"
160481,2004,67,"FT"
160612,2004,68,"FT"
160621,2004,72,"FT"
160649,2004,89,"FT"
160658,2004,73,"FT"
161077,2004,81,"FT"
161138,2004,63,"FT"
161192,2004,62,"FT"
161217,2004,61,"FT"
161253,2004,76,"FT"
161484,2004,59,"FT"
161545,2004,58,"FT"
161554,2004,68,"FT"
161581,2004,62,"FT"
161688,2004,62,"FT"
161767,2004,63,"FT"
161800,2004,45,"FT"
161855,2004,89,"FT"
161864,2004,28,"FT"
162007,2004,72,"FT"
162104,2004,51,"FT"
162122,2004,62,"FT"
162168,2004,56,"FT"
162283,2004,65,"FT"
162557,2004,12,"FT"
162609,2004,53,"FT"
162690,2004,60,"FT"
162706,2004,61,"FT"
162779,2004,62,"FT"
163204,2004,45,"FT"
163268,2004,82,"FT"
163286,2004,93,"FT"
163338,2004,67,"FT"
163408,2004,41,"FT"
163426,2004,70,"FT"
163453,2004,71,"FT"
163541,2004,50,"FT"
163657,2004,59,"FT"
163815,2004,87,"FT"
164076,2004,85,"FT"
164313,2004,52,"FT"
164775,2004,62,"FT"
165024,2004,78,"FT"
165033,2004,62,"FT"
165112,2004,51,"FT"
165194,2004,92,"FT"
165255,2004,94,"FT"
165820,2004,77,"FT"
165866,2004,72,"FT"
165981,2004,79,"FT"
166133,2004,61,"FT"
166513,2004,75,"FT"
166629,2004,82,"FT"
166638,2004,71,"FT"
166647,2004,52,"FT"
166805,2004,100,"FT"
166823,2004,56,"FT"
166887,2004,55,"FT"
166957,2004,51,"FT"
167312,2004,71,"FT"
167376,2004,55,"FT"
167534,2004,53,"FT"
167631,2004,47,"FT"
