"ID","Year","Retention","Type"
130943,2014,91,"FT"
130989,2014,76,"FT"
131061,2014,75,"FT"
131113,2014,61,"FT"
131159,2014,89,"FT"
131399,2014,52,"FT"
131469,2014,93,"FT"
131520,2014,85,"FT"
131876,2014,60,"FT"
132602,2014,66,"FT"
132657,2014,69,"FT"
132675,2014,17,"FT"
132842,2014,56,"FT"
132903,2014,88,"FT"
133155,2014,74,"FT"
133553,2014,79,"FT"
133650,2014,81,"FT"
133669,2014,75,"FT"
133872,2014,70,"FT"
133881,2014,76,"FT"
133951,2014,84,"FT"
134097,2014,92,"FT"
134130,2014,96,"FT"
134228,2014,25,"FT"
134291,2014,85,"FT"
134307,2014,53,"FT"
134714,2014,79,"FT"
134945,2014,73,"FT"
135081,2014,75,"FT"
135142,2014,86,"FT"
135179,2014,76,"FT"
135276,2014,61,"FT"
135407,2014,45,"FT"
135647,2014,86,"FT"
135735,2014,60,"FT"
136172,2014,83,"FT"
136215,2014,74,"FT"
136491,2014,80,"FT"
136659,2014,77,"FT"
136765,2014,84,"FT"
136826,2014,47,"FT"
137087,2014,81,"FT"
137120,2014,60,"FT"
137351,2014,89,"FT"
137564,2014,66,"FT"
137713,2014,65,"FT"
137856,2014,70,"FT"
138284,2014,88,"FT"
138354,2014,74,"FT"
138372,2014,66,"FT"
138488,2014,21,"FT"
138558,2014,59,"FT"
138655,2014,64,"FT"
138682,2014,55,"FT"
138716,2014,69,"FT"
138840,2014,56,"FT"
138947,2014,61,"FT"
138956,2014,55,"FT"
139153,2014,21,"FT"
139199,2014,66,"FT"
139205,2014,50,"FT"
139250,2014,62,"FT"
139278,2014,47,"FT"
139311,2014,67,"FT"
139357,2014,45,"FT"
139366,2014,72,"FT"
139384,2014,53,"FT"
139463,2014,71,"FT"
139719,2014,57,"FT"
139755,2014,96,"FT"
139764,2014,70,"FT"
139931,2014,81,"FT"
139940,2014,81,"FT"
139959,2014,94,"FT"
139986,2014,48,"FT"
140003,2014,68,"FT"
140012,2014,57,"FT"
140243,2014,59,"FT"
140331,2014,51,"FT"
140447,2014,80,"FT"
140678,2014,62,"FT"
140720,2014,56,"FT"
140942,2014,58,"FT"
140951,2014,82,"FT"
140960,2014,67,"FT"
141006,2014,64,"FT"
141167,2014,66,"FT"
141185,2014,71,"FT"
141237,2014,67,"FT"
141255,2014,44,"FT"
141264,2014,69,"FT"
141334,2014,74,"FT"
141486,2014,76,"FT"
141565,2014,66,"FT"
141574,2014,79,"FT"
141644,2014,70,"FT"
141680,2014,53,"FT"
141796,2014,64,"FT"
141802,2014,59,"FT"
141811,2014,61,"FT"
141981,2014,61,"FT"
141990,2014,62,"FT"
142115,2014,75,"FT"
142179,2014,64,"FT"
142276,2014,73,"FT"
142285,2014,77,"FT"
142328,2014,61,"FT"
142443,2014,55,"FT"
142522,2014,69,"FT"
143215,2014,65,"FT"
143279,2014,47,"FT"
143376,2014,77,"FT"
143473,2014,100,"FT"
143613,2014,61,"FT"
144005,2014,53,"FT"
144157,2014,44,"FT"
144166,2014,37,"FT"
144175,2014,38,"FT"
144184,2014,50,"FT"
144193,2014,51,"FT"
144209,2014,52,"FT"
144218,2014,56,"FT"
144281,2014,71,"FT"
144564,2014,61,"FT"
144740,2014,87,"FT"
144865,2014,69,"FT"
144892,2014,76,"FT"
144944,2014,76,"FT"
145433,2014,75,"FT"
145521,2014,61,"FT"
145600,2014,80,"FT"
145619,2014,73,"FT"
145637,2014,93,"FT"
145682,2014,69,"FT"
145707,2014,59,"FT"
145813,2014,81,"FT"
145831,2014,58,"FT"
146205,2014,61,"FT"
146278,2014,66,"FT"
146296,2014,59,"FT"
146348,2014,68,"FT"
146366,2014,54,"FT"
146418,2014,66,"FT"
146472,2014,68,"FT"
146506,2014,66,"FT"
146603,2014,69,"FT"
146685,2014,61,"FT"
146816,2014,36,"FT"
147004,2014,64,"FT"
147369,2014,87,"FT"
147378,2014,70,"FT"
147411,2014,70,"FT"
147536,2014,52,"FT"
147703,2014,71,"FT"
147776,2014,60,"FT"
147800,2014,75,"FT"
147916,2014,61,"FT"
148007,2014,41,"FT"
148256,2014,62,"FT"
148292,2014,56,"FT"
148380,2014,68,"FT"
148654,2014,79,"FT"
148672,2014,64,"FT"
148821,2014,49,"FT"
148937,2014,59,"FT"
148991,2014,66,"FT"
149222,2014,68,"FT"
149231,2014,73,"FT"
149365,2014,39,"FT"
149532,2014,63,"FT"
149550,2014,53,"FT"
149727,2014,69,"FT"
149772,2014,72,"FT"
149842,2014,68,"FT"
150136,2014,81,"FT"
150145,2014,81,"FT"
150172,2014,58,"FT"
150303,2014,84,"FT"
150987,2014,45,"FT"
151102,2014,68,"FT"
